timestamp,date,time,co_gt,pt08_s1_co,nmhc_gt,c6h6_gt,pt08_s2_nmhc,nox_gt,pt08_s3_nox,no2_gt,pt08_s4_no2,pt08_s5_o3,temperature,relative_humidity,absolute_humidity,source,simulation,exclusion_reason,exclusion_details
2004-11-04 17:00:00,04/11/2004,17.00.00,,1915.0,,45.9,1889.0,1052.0,340.0,186.0,2603.0,2110.0,24.8,53.9,1.6683,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-04 18:00:00,04/11/2004,18.00.00,8.7,1882.0,,47.5,1920.0,1014.0,328.0,171.0,2609.0,2204.0,23.1,61.1,1.7082,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-05 17:00:00,05/11/2004,17.00.00,8.1,1870.0,,45.0,1871.0,1001.0,351.0,180.0,2483.0,2165.0,23.0,54.2,1.5066,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-11 09:00:00,11/11/2004,09.00.00,6.8,1578.0,,32.3,1605.0,1247.0,429.0,211.0,2032.0,1643.0,9.9,83.4,1.0194,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-11 10:00:00,11/11/2004,10.00.00,5.4,1417.0,,24.1,1407.0,1110.0,490.0,190.0,1709.0,1488.0,10.2,82.3,1.0253,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-11 11:00:00,11/11/2004,11.00.00,4.5,1392.0,,21.0,1325.0,1145.0,511.0,194.0,1631.0,1465.0,11.2,80.7,1.0688,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-16 09:00:00,16/11/2004,09.00.00,5.2,1389.0,,26.3,1463.0,1071.0,518.0,222.0,1694.0,1706.0,11.3,43.9,0.5867,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-17 17:00:00,17/11/2004,17.00.00,7.8,1659.0,,35.9,1685.0,1290.0,423.0,272.0,1946.0,2155.0,16.0,41.5,0.7483,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-17 19:00:00,17/11/2004,19.00.00,6.6,1549.0,,30.1,1553.0,1148.0,446.0,288.0,1796.0,2032.0,13.0,55.1,0.824,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-18 09:00:00,18/11/2004,09.00.00,5.6,1503.0,,27.8,1498.0,1132.0,469.0,249.0,1749.0,1783.0,8.9,67.4,0.7714,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-18 10:00:00,18/11/2004,10.00.00,5.6,1446.0,,22.9,1374.0,1195.0,499.0,282.0,1560.0,1818.0,11.4,58.3,0.7868,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-18 11:00:00,18/11/2004,11.00.00,4.7,1416.0,,20.2,1302.0,1120.0,526.0,278.0,1471.0,1826.0,13.4,52.8,0.8086,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-22 16:00:00,22/11/2004,16.00.00,3.5,1411.0,,22.8,1371.0,1058.0,500.0,235.0,1484.0,1919.0,8.5,49.6,0.5517,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-22 17:00:00,22/11/2004,17.00.00,4.0,1509.0,,25.4,1439.0,1080.0,459.0,199.0,1577.0,2078.0,8.5,52.6,0.5856,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-22 18:00:00,22/11/2004,18.00.00,6.3,1738.0,,38.3,1735.0,1301.0,365.0,240.0,1917.0,2434.0,8.9,53.4,0.6117,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-22 19:00:00,22/11/2004,19.00.00,6.9,1766.0,,37.6,1720.0,1345.0,361.0,245.0,1881.0,2515.0,9.1,53.8,0.6216,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-22 20:00:00,22/11/2004,20.00.00,6.5,1706.0,,33.9,1641.0,1218.0,381.0,239.0,1778.0,2522.0,8.9,54.2,0.6183,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-23 10:00:00,23/11/2004,10.00.00,6.6,1702.0,,31.5,1585.0,1188.0,422.0,183.0,1960.0,1967.0,10.7,76.2,0.9798,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-23 11:00:00,23/11/2004,11.00.00,5.0,1552.0,,24.1,1406.0,1045.0,478.0,185.0,1749.0,1862.0,11.8,72.2,0.9948,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-23 14:00:00,23/11/2004,14.00.00,7.3,1769.0,,33.2,1624.0,1189.0,396.0,233.0,2041.0,2202.0,13.9,67.6,1.0666,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-23 17:00:00,23/11/2004,17.00.00,7.3,1821.0,,35.4,1673.0,1201.0,371.0,215.0,2119.0,2201.0,13.6,71.0,1.1018,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-23 18:00:00,23/11/2004,18.00.00,10.2,1982.0,,49.5,1959.0,1369.0,322.0,227.0,2536.0,2386.0,13.2,72.6,1.0936,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-23 19:00:00,23/11/2004,19.00.00,11.9,2008.0,,50.6,1980.0,1389.0,325.0,220.0,2562.0,2342.0,12.4,74.7,1.0741,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-23 20:00:00,23/11/2004,20.00.00,11.5,1918.0,,49.4,1958.0,1358.0,335.0,190.0,2477.0,2237.0,11.5,76.2,1.0324,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-23 21:00:00,23/11/2004,21.00.00,8.3,1693.0,,31.7,1590.0,1189.0,412.0,178.0,1949.0,2025.0,10.4,79.3,0.9993,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-24 20:00:00,24/11/2004,20.00.00,8.4,1669.0,,36.0,1686.0,1074.0,384.0,181.0,2066.0,1961.0,10.1,79.3,0.9795,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-26 10:00:00,26/11/2004,10.00.00,5.6,1562.0,,26.1,1458.0,1056.0,458.0,197.0,1770.0,2021.0,12.4,64.8,0.931,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-26 16:00:00,26/11/2004,16.00.00,6.2,1704.0,,29.1,1531.0,1071.0,507.0,213.0,1904.0,2098.0,15.7,58.9,1.0432,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-26 17:00:00,26/11/2004,17.00.00,7.7,1822.0,,36.0,1686.0,1134.0,387.0,233.0,2077.0,2244.0,15.5,61.2,1.067,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-26 18:00:00,26/11/2004,18.00.00,10.1,1956.0,,45.2,1877.0,1389.0,347.0,255.0,2338.0,2465.0,15.5,62.8,1.0979,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-26 21:00:00,26/11/2004,21.00.00,8.1,1759.0,,31.6,1588.0,1155.0,437.0,205.0,1971.0,2234.0,14.6,67.7,1.1164,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-29 10:00:00,29/11/2004,10.00.00,6.3,1573.0,,28.3,1511.0,1044.0,531.0,172.0,1916.0,1927.0,13.8,68.5,1.0718,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-29 11:00:00,29/11/2004,11.00.00,6.6,1705.0,,30.5,1562.0,1172.0,473.0,232.0,1988.0,2197.0,14.9,64.9,1.0929,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-01 18:00:00,01/12/2004,18.00.00,7.5,1547.0,,29.2,1532.0,1040.0,1009.0,185.0,1972.0,1718.0,12.3,78.8,1.1279,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-02 18:00:00,02/12/2004,18.00.00,7.7,1707.0,,37.6,1721.0,1001.0,375.0,171.0,2260.0,1940.0,15.8,70.7,1.2601,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-02 19:00:00,02/12/2004,19.00.00,9.4,1816.0,,43.9,1851.0,1184.0,341.0,171.0,2405.0,2069.0,15.4,73.0,1.2688,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-02 20:00:00,02/12/2004,20.00.00,7.8,1713.0,,36.6,1699.0,1020.0,371.0,161.0,2196.0,1943.0,15.4,73.0,1.2648,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-13 17:00:00,13/12/2004,17.00.00,5.9,1595.0,,33.4,1628.0,1014.0,495.0,218.0,1822.0,2140.0,14.1,44.9,0.7194,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-13 18:00:00,13/12/2004,18.00.00,9.9,1881.0,,50.8,1983.0,1479.0,334.0,269.0,2271.0,2523.0,12.6,55.9,0.8142,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-13 19:00:00,13/12/2004,19.00.00,6.9,1633.0,,35.6,1677.0,1018.0,400.0,217.0,1880.0,2188.0,11.7,60.8,0.8336,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-14 17:00:00,14/12/2004,17.00.00,7.4,,,,,1159.0,,257.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-14 18:00:00,14/12/2004,18.00.00,9.3,,,,,1310.0,,248.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-14 19:00:00,14/12/2004,19.00.00,7.4,,,,,1037.0,,208.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-15 17:00:00,15/12/2004,17.00.00,6.6,,,,,1237.0,,229.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-15 18:00:00,15/12/2004,18.00.00,7.3,,,,,1137.0,,214.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-16 11:00:00,16/12/2004,11.00.00,4.5,,,,,1015.0,,210.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-16 14:00:00,16/12/2004,14.00.00,5.5,,,,,1018.0,,212.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-16 15:00:00,16/12/2004,15.00.00,4.8,,,,,1058.0,,217.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-16 16:00:00,16/12/2004,16.00.00,5.5,,,,,1182.0,,236.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-16 17:00:00,16/12/2004,17.00.00,5.2,,,,,1089.0,,217.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-16 18:00:00,16/12/2004,18.00.00,7.5,,,,,1186.0,,231.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-16 19:00:00,16/12/2004,19.00.00,8.6,,,,,1235.0,,227.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-16 20:00:00,16/12/2004,20.00.00,9.1,,,,,1253.0,,219.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-16 21:00:00,16/12/2004,21.00.00,8.6,,,,,1237.0,,203.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-16 22:00:00,16/12/2004,22.00.00,5.4,,,,,1060.0,,186.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-17 09:00:00,17/12/2004,09.00.00,6.3,,,,,1005.0,,151.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-23 18:00:00,23/12/2004,18.00.00,8.5,1630.0,,33.1,1622.0,1089.0,421.0,247.0,1757.0,2238.0,8.0,45.9,0.4936,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-23 19:00:00,23/12/2004,19.00.00,8.7,1704.0,,36.1,1689.0,1070.0,402.0,242.0,1820.0,2480.0,7.1,50.3,0.51,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-23 20:00:00,23/12/2004,20.00.00,9.1,1701.0,,36.3,1692.0,1220.0,402.0,252.0,1832.0,2415.0,6.2,56.9,0.5419,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-12-23 21:00:00,23/12/2004,21.00.00,7.2,1564.0,,26.3,1462.0,1076.0,472.0,228.0,1574.0,2181.0,6.3,57.9,0.5575,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2005-01-05 12:00:00,05/01/2005,12.00.00,5.9,1741.0,,25.3,1438.0,1130.0,416.0,219.0,1741.0,2159.0,12.8,60.1,0.882,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2005-01-17 18:00:00,17/01/2005,18.00.00,8.6,1683.0,,43.0,1831.0,1216.0,374.0,272.0,1964.0,2331.0,9.2,39.3,0.4573,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2005-01-17 19:00:00,17/01/2005,19.00.00,8.7,1615.0,,37.2,1712.0,1230.0,384.0,225.0,1811.0,2312.0,7.8,48.1,0.5115,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2005-01-18 10:00:00,18/01/2005,10.00.00,5.8,1476.0,,25.0,1428.0,1049.0,477.0,235.0,1536.0,1974.0,5.6,52.9,0.4841,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2005-01-18 13:00:00,18/01/2005,13.00.00,4.9,1557.0,,25.1,1432.0,1022.0,445.0,234.0,1605.0,2068.0,5.5,66.1,0.601,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2005-01-18 14:00:00,18/01/2005,14.00.00,5.2,1610.0,,28.0,1502.0,1023.0,420.0,240.0,1697.0,2087.0,5.5,69.3,0.6331,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2005-01-18 15:00:00,18/01/2005,15.00.00,4.6,1583.0,,26.1,1457.0,1065.0,431.0,243.0,1640.0,1994.0,5.0,75.5,0.6667,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2005-01-18 16:00:00,18/01/2005,16.00.00,4.8,1620.0,,24.7,1420.0,1098.0,436.0,224.0,1598.0,1971.0,5.2,76.2,0.6796,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2005-01-18 17:00:00,18/01/2005,17.00.00,4.9,1605.0,,24.5,1416.0,1099.0,436.0,240.0,1614.0,1941.0,5.3,77.4,0.6954,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2005-01-21 21:00:00,21/01/2005,21.00.00,6.4,1804.0,,35.7,1679.0,1200.0,370.0,243.0,2005.0,2210.0,9.4,69.1,0.815,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2005-01-21 22:00:00,21/01/2005,22.00.00,3.5,1579.0,,21.8,1345.0,1028.0,459.0,230.0,1608.0,1961.0,8.9,71.0,0.8115,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2005-02-01 12:00:00,01/02/2005,12.00.00,4.5,1507.0,,19.8,1292.0,1017.0,479.0,227.0,1379.0,2110.0,7.3,50.8,0.5226,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2005-02-10 20:00:00,10/02/2005,20.00.00,8.4,,,,,1028.0,,276.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2005-02-11 15:00:00,11/02/2005,15.00.00,6.1,,,,,1054.0,,312.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2005-02-11 16:00:00,11/02/2005,16.00.00,7.1,,,,,1218.0,,340.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2005-02-11 17:00:00,11/02/2005,17.00.00,6.6,,,,,1227.0,,326.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2005-02-11 18:00:00,11/02/2005,18.00.00,6.5,,,,,1061.0,,284.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2005-02-11 19:00:00,11/02/2005,19.00.00,7.1,,,,,1075.0,,289.0,,,,,,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
